Model	Hersteller	Verbrauch	Zylinder	Hubraum	PS	Gewicht	Beschleunigung	Baujahr	Herkunft
satellite custom (sw)	plymouth	16.8	8	5211.1	150	1849.3	14	72	American
145e (sw)	volvo	13.07	4	1982.8	112	1330.4	14.5	72	European
411 (sw)	vw	10.69	4	1982.8	76	1139	18	72	European
504 (sw)	peugeot	11.2	4	1966.4	87	1351.3	19.5	72	European
12 (sw)	renault	9.05	4	1573.2	69	992.9	18	72	European
pinto (sw)	ford	10.69	4	1999.2	86	1086.4	16	72	American
510 (sw)	datsun	8.4	4	1589.5	92	1037.8	17	72	Japanese
corona mark ii (sw)	toyota	10.23	4	1966.4	97	1136.7	14.5	72	Japanese
colt (sw)	dodge	8.4	4	1605.9	80	981.6	15	72	American
corolla 1600 (sw)	toyota	8.71	4	1589.5	88	952.6	16.5	72	Japanese
century 350	buick	18.1	8	5735.5	175	1859.8	13	73	American
matador	amc	16.8	8	4981.6	150	1665.6	11.5	73	American
malibu	chevrolet	18.1	8	5735.5	145	1809	13	73	American
gran torino	ford	16.8	8	4948.9	137	1833.5	14.5	73	American
coronet custom	dodge	15.68	8	5211.1	150	1713.2	12.5	73	American
marquis brougham	mercury	19.6	8	7030	198	2246.2	11.5	73	American
caprice classic	chevrolet	18.1	8	6554.8	150	2024.9	12	73	American
ltd	ford	18.1	8	5751.8	158	1979.1	13	73	American
fury gran sedan	plymouth	16.8	8	5211.1	150	1921.9	14.5	73	American
new yorker brougham	chrysler	18.1	8	7210.3	215	2147.8	11	73	American
electra 225 custom	buick	19.6	8	7456.1	225	2245.8	11	73	American
ambassador brougham	amc	18.1	8	5899.3	175	1733.2	11	73	American
valiant	plymouth	13.07	6	3687.1	105	1415.7	16.5	73	American
nova custom	chevrolet	14.7	6	4096.8	100	1486.9	18	73	American
hornet	amc	13.07	6	3801.8	100	1335.9	16	73	American
maverick	ford	13.07	6	4096.8	88	1370.3	16.5	73	American
duster	plymouth	10.23	6	3244.6	95	1317.3	16	73	American
super beetle	vw	9.05	4	1589.5	46	884.5	21	73	European
impala	chevrolet	21.39	8	6554.8	150	2266.6	14	73	American
country	ford	19.6	8	6554.8	167	2225.4	12.5	73	American
custom suburb	plymouth	18.1	8	5899.3	170	2111.1	13	73	American
vista cruiser	oldsmobile	19.6	8	5735.5	180	2040.7	12.5	73	American
gremlin	amc	13.07	6	3801.8	100	1265.1	15	73	American
carina	toyota	11.76	4	1589.5	88	1033.8	19	73	Japanese
vega	chevrolet	11.2	4	2294.2	72	1089.1	19.5	73	American
610	datsun	10.69	4	1769.8	94	1079.1	16.5	73	Japanese
rx3	mazda	13.07	3	1147.1	90	963.4	13.5	73	Japanese
pinto	ford	12.38	4	1999.2	85	1047.8	18.5	73	American
capri v6	mercury	11.2	6	2540	107	1121.3	14	73	American
124 sport coupe	fiat	9.05	4	1605.9	90	1027.4	15.5	73	European
monte carlo s	chevrolet	15.68	8	5735.5	145	1851.6	13	73	American
grand prix	pontiac	14.7	8	6554.8	230	1940.5	9.5	73	American
128	fiat	8.11	4	1114.3	49	846.9	19.5	73	European
opel manta	buick	9.8	4	1900.9	75	978.9	15.5	73	European
100ls	audi	11.76	4	1868.1	91	1171.2	14	73	European
144ea	volvo	12.38	4	1982.8	112	1300.9	15.5	73	European
dart custom	dodge	15.68	8	5211.1	150	1541.8	11	73	American
99le	saab	9.8	4	1982.8	110	1206.6	14	73	European
mark ii	toyota	11.76	6	2556.4	122	1273.3	13.5	73	Japanese
omega	oldsmobile	21.39	8	5735.5	180	1662	11	73	American
duster	plymouth	11.76	6	3244.6	95	1407.1	16.5	74	American
maverick	ford	11.2	6	3277.4	NA	1304.1	17	74	American
hornet	amc	12.38	6	3801.8	100	1315.9	16	74	American
nova	chevrolet	15.68	6	4096.8	100	1513.2	17	74	American
b210	datsun	7.59	4	1294.6	67	884.5	19	74	Japanese
pinto	ford	9.05	4	1999.2	80	1111.8	16.5	74	American
corolla 1200	toyota	7.35	4	1163.5	65	832.8	21	74	Japanese
vega	chevrolet	9.41	4	2294.2	75	1153.1	17	74	American
chevelle malibu classic	chevrolet	14.7	6	4096.8	100	1715.1	17	74	American
matador	amc	14.7	6	4227.8	110	1647.5	18	74	American
satellite sebring	plymouth	13.07	6	3687.1	105	1638.9	16.5	74	American
gran torino	ford	14.7	8	4948.9	140	1878.4	14	74	American
century luxus (sw)	buick	18.1	8	5735.5	150	2131.5	14.5	74	American
coronet custom (sw)	dodge	16.8	8	5211.1	150	2021.7	13.5	74	American
gran torino (sw)	ford	16.8	8	4948.9	140	2103.8	16	74	American
matador (sw)	amc	16.8	8	4981.6	150	1931	15.5	74	American
fox	audi	8.11	4	1605.9	83	1006.5	16.5	74	European
dasher	vw	9.05	4	1294.6	67	890.4	15.5	74	European
opel manta	buick	9.05	4	1589.5	78	1043.3	14.5	74	European
corona	toyota	7.59	4	1245.4	52	748	16.5	74	Japanese
710	datsun	7.35	4	1360.1	61	908.6	19	74	Japanese
colt	dodge	8.4	4	1474.8	75	963.9	14.5	74	American
128	fiat	9.8	4	1474.8	75	956.2	15.5	74	European
124 tc	fiat	9.05	4	1900.9	75	1018.8	14	74	European
civic	honda	9.8	4	1966.4	97	1129	15	74	Japanese
none	subaru	9.05	4	1769.8	93	1084.6	15.5	74	Japanese
x1.9	fiat	7.59	4	1294.6	67	907.2	16	74	European
valiant custom	plymouth	12.38	6	3687.1	95	1480.6	16	75	American
nova	chevrolet	13.07	6	4096.8	105	1569	16	75	American
monarch	mercury	15.68	6	4096.8	72	1556.8	21	75	American
maverick	ford	15.68	6	4096.8	72	1432.5	19.5	75	American
catalina	pontiac	14.7	8	6554.8	170	2117.4	11.5	75	American
bel air	chevrolet	15.68	8	5735.5	145	2014	14	75	American
grand fury	plymouth	14.7	8	5211.1	150	2040.3	14.5	75	American
ltd	ford	16.8	8	5751.8	148	2112.4	13.5	75	American
century	buick	13.84	6	3785.4	110	1772.2	21	75	American
chevelle malibu	chevrolet	14.7	6	4096.8	105	1767.7	18.5	75	American
matador	amc	15.68	6	4227.8	110	1691.9	19	75	American
fury	plymouth	13.07	6	3687.1	95	1716.9	19	75	American
skyhawk	buick	11.2	6	3785.4	110	1378.5	15	75	American
monza 2+2	chevrolet	11.76	8	4293.4	110	1461	13.5	75	American
mustang ii	ford	18.1	8	4948.9	129	1437.5	12	75	American
corolla	toyota	8.11	4	1589.5	75	984.8	16	75	Japanese
pinto	ford	10.23	4	2294.2	83	1197.1	17	75	American
gremlin	amc	11.76	6	3801.8	100	1321.8	16	75	American
astro	pontiac	10.23	4	2294.2	78	1175.7	18.5	75	American
corona	toyota	9.8	4	2195.9	96	1225.6	13.5	75	Japanese
dasher	vw	9.41	4	1474.8	71	1008.4	16.5	75	European
710	datsun	9.8	4	1950.1	97	1154.4	17	75	Japanese
pinto	ford	13.07	6	2802.2	97	1353.5	14.5	75	American
rabbit	vw	8.11	4	1474.8	70	878.6	14	75	European
pacer	amc	12.38	6	3801.8	90	1456.5	17	75	American
100ls	audi	10.23	4	1884.5	95	1222	15	75	European
504	peugeot	10.23	4	1966.4	88	1341.3	17	75	European
244dl	volvo	10.69	4	1982.8	98	1335.9	14.5	75	European
99le	saab	9.41	4	1982.8	115	1211.6	13.5	75	European
civic cvcc	honda	7.13	4	1491.2	53	814.2	17.5	75	Japanese
131	fiat	8.4	4	1753.4	86	1117.7	15.5	76	European
opel 1900	buick	9.41	4	1900.9	81	1007	16.9	76	European
ii	capri	9.41	4	2294.2	92	1166.7	14.9	76	American
colt	dodge	9.05	4	1605.9	79	1022.9	17.7	76	American
12tl	renault	8.71	4	1655.1	83	998.8	15.3	76	European
chevelle malibu classic	chevrolet	13.44	8	4998	140	1911.9	13	76	American
coronet brougham	dodge	14.7	8	5211.1	150	1900.6	13	76	American
matador	amc	15.18	8	4981.6	120	1797.2	13.9	76	American
gran torino	ford	16.22	8	5751.8	152	1911.9	12.8	76	American
valiant	plymouth	10.69	6	3687.1	100	1466.5	15.4	76	American
nova	chevrolet	10.69	6	4096.8	105	1520.9	14.5	76	American
maverick	ford	9.8	6	3277.4	81	1366.2	17.6	76	American
hornet	amc	10.46	6	3801.8	90	1399.4	17.6	76	American
chevette	chevrolet	8.11	4	1392.9	52	923.1	22.2	76	American
woody	chevrolet	9.6	4	1605.9	60	981.6	22.1	76	American
rabbit	vw	8.11	4	1474.8	70	878.6	14.2	76	European
civic	honda	7.13	4	1491.2	53	814.2	17.4	76	Japanese
aspen se	dodge	11.76	6	3687.1	100	1656.1	17.7	76	American
granada ghia	ford	13.07	6	4096.8	78	1621.2	21	76	American
ventura sj	pontiac	12.72	6	4096.8	110	1653.4	16.2	76	American
pacer d/l	amc	13.44	6	4227.8	95	1448.3	17.8	76	American
rabbit	vw	7.97	4	1589.5	71	827.8	12.2	76	European
b-210	datsun	7.35	4	1392.9	70	902.7	17	76	Japanese
corolla	toyota	8.4	4	1589.5	75	977.5	16.4	76	Japanese
pinto	ford	8.88	4	2294.2	72	1163.5	13.6	76	American
245	volvo	11.76	4	2130.3	102	1428.8	15.7	76	European
volare premier v8	plymouth	18.1	8	5211.1	150	1787.2	13.2	76	American
504	peugeot	12.38	4	1966.4	88	1483.3	21.9	76	European
mark ii	toyota	12.38	6	2556.4	108	1329	15.5	76	Japanese
280s	mercedes	14.26	6	2753	120	1732.8	16.7	76	European
seville	cadillac	14.26	8	5735.5	180	1986.8	12.1	76	American
c10	chevrolet	18.1	8	5735.5	145	1839.3	12	76	American
f108	ford	18.1	8	4948.9	130	1755.4	15	76	American
d100	dodge	18.1	8	5211.1	150	1703.3	14	76	American
accord cvcc	honda	7.47	4	1605.9	68	927.6	18.5	77	Japanese
opel isuzu deluxe	buick	7.84	4	1819	80	977.5	14.8	77	American
5 gtl	renault	6.53	4	1294.6	58	827.8	18.6	77	European
arrow gs	plymouth	9.23	4	1999.2	96	1043.3	15.5	77	American
f-10 hatchback	datsun	7.02	4	1392.9	70	882.3	16.8	77	Japanese
caprice classic	chevrolet	13.44	8	4998	145	1760	12.5	77	American
cutlass supreme	oldsmobile	13.84	8	4260.6	110	1841.6	19	77	American
monaco brougham	dodge	15.18	8	5211.1	145	1877.9	13.7	77	American
cougar brougham	mercury	15.68	8	4948.9	130	1948.2	14.9	77	American
concours	chevrolet	13.44	6	4096.8	110	1596.7	16.4	77	American
skylark	buick	11.48	6	3785.4	105	1553.6	16.9	77	American
volare custom	plymouth	12.38	6	3687.1	100	1646.6	17.7	77	American
granada	ford	12.72	6	4096.8	98	1598.9	19	77	American
grand prix lj	pontiac	14.7	8	6554.8	180	1914.2	11.1	77	American
monte carlo landau	chevrolet	15.18	8	5735.5	170	1889.2	11.4	77	American
cordoba	chrysler	15.18	8	6554.8	190	1961.8	12.2	77	American
thunderbird	ford	14.7	8	5751.8	149	1966.4	14.5	77	American
rabbit custom	vw	8.11	4	1589.5	78	880	14.5	77	European
sunbird coupe	pontiac	9.6	4	2474.4	88	1242.9	16	77	American
corolla liftback	toyota	9.05	4	1589.5	75	1027.4	18.2	77	Japanese
mustang ii 2+2	ford	9.23	4	2294.2	89	1249.7	15.8	77	American
chevette	chevrolet	7.71	4	1605.9	63	930.3	17	77	American
colt m/m	dodge	7.02	4	1605.9	83	941.2	15.9	77	American
dl	subaru	7.84	4	1589.5	67	900.4	16.4	77	Japanese
dasher	vw	7.71	4	1589.5	78	993.4	14.1	77	European
810	datsun	10.69	6	2392.5	97	1276.9	14.5	77	Japanese
320i	bmw	10.94	4	1982.8	110	1179.4	12.8	77	European
rx-4	mazda	10.94	3	1311	110	1233.8	13.5	77	Japanese
rabbit custom diesel	vw	5.46	4	1474.8	48	900.4	21.5	78	European
fiesta	ford	6.52	4	1605.9	66	816.5	14.4	78	American
glc deluxe	mazda	7.17	4	1278.2	52	900.4	19.4	78	Japanese
b210 gx	datsun	5.97	4	1392.9	70	939	18.6	78	Japanese
civic cvcc	honda	6.52	4	1491.2	60	816.5	16.4	78	Japanese
cutlass salon brougham	oldsmobile	11.82	8	4260.6	110	1526.4	15.5	78	American
diplomat	dodge	12.13	8	5211.1	140	1694.2	13.2	78	American
monarch ghia	mercury	11.65	8	4948.9	139	1619.4	12.8	78	American
phoenix lj	pontiac	12.25	6	3785.4	105	1603.5	19.2	78	American
malibu	chevrolet	11.48	6	3277.4	95	1431.1	18.2	78	American
fairmont (auto)	ford	11.65	6	3277.4	85	1344.9	15.8	78	American
fairmont (man)	ford	9.37	4	2294.2	88	1233.8	15.4	78	American
volare	plymouth	11.48	6	3687.1	100	1555.8	17.2	78	American
concord	amc	12.13	6	3801.8	90	1456.1	17.2	78	American
century special	buick	11.42	6	3785.4	105	1533.2	15.8	78	American
zephyr	mercury	11.31	6	3277.4	85	1392.6	16.7	78	American
aspen	dodge	12.65	6	3687.1	110	1642	18.7	78	American
concord d/l	amc	13	6	4227.8	120	1546.8	15.1	78	American
monte carlo landau	chevrolet	12.25	8	4998	145	1553.6	13.2	78	American
regal sport coupe (turbo)	buick	13.29	6	3785.4	165	1562.7	13.4	78	American
futura	ford	13	8	4948.9	139	1453.8	11.2	78	American
magnum xe	dodge	13.44	8	5211.1	140	1850.7	13.7	78	American
chevette	chevrolet	7.84	4	1605.9	68	977.5	16.5	78	American
corona	toyota	8.55	4	2195.9	95	1161.2	14.2	78	Japanese
510	datsun	8.65	4	1950.1	97	1043.3	14.7	78	Japanese
omni	dodge	7.61	4	1720.6	75	1011.5	14.5	78	American
celica gt liftback	toyota	11.15	4	2195.9	95	1140.8	14.8	78	Japanese
sapporo	plymouth	10.14	4	2556.4	105	1245.1	16.7	78	American
starfire sx	oldsmobile	9.88	4	2474.4	85	1295	17.6	78	American
200-sx	datsun	9.84	4	1950.1	97	1090.9	14.9	78	Japanese
5000	audi	11.59	5	2146.7	103	1283.7	15.9	78	European
264gl	volvo	13.84	6	2671.1	125	1424.3	13.6	78	European
99gle	saab	10.89	4	1982.8	115	1267.8	15.7	78	European
604sl	peugeot	14.52	6	2671.1	133	1546.8	15.8	78	European
scirocco	vw	7.47	4	1458.4	71	902.7	14.9	78	European
accord lx	honda	7.97	4	1605.9	68	968.4	16.6	78	Japanese
lemans v6	pontiac	10.94	6	3785.4	115	1471.9	15.4	79	American
zephyr 6	mercury	11.88	6	3277.4	85	1356.3	18.2	79	American
fairmont 4	ford	10.55	4	2294.2	88	1310.9	17.3	79	American
concord dl 6	amc	11.65	6	3801.8	90	1481	18.2	79	American
aspen 6	dodge	11.42	6	3687.1	110	1524.1	16.6	79	American
caprice classic	chevrolet	13.84	8	4998	130	1741.8	15.4	79	American
ltd landau	ford	13.37	8	4948.9	129	1689.7	13.4	79	American
grand marquis	mercury	14.26	8	5751.8	138	1794	13.2	79	American
st. regis	dodge	12.93	8	5211.1	135	1737.3	15.2	79	American
estate wagon (sw)	buick	13.92	8	5735.5	155	1977.7	14.9	79	American
country squire (sw)	ford	15.18	8	5751.8	142	1838.9	14.3	79	American
malibu classic (sw)	chevrolet	12.25	8	4375.3	125	1635.2	15	79	American
lebaron town	chrysler	12.72	8	5899.3	150	1787.2	13	79	American
rabbit custom	vw	7.37	4	1458.4	71	873.2	14	79	European
glc deluxe	mazda	6.9	4	1409.3	65	895.9	15.2	79	Japanese
colt hatchback custom	dodge	6.59	4	1605.9	80	868.6	14.4	79	American
spirit dl	amc	8.59	4	1982.8	80	1211.1	15	79	American
300d	mercedes	9.26	5	2998.8	77	1601.2	20.1	79	European
eldorado	cadillac	10.23	8	5735.5	125	1769	17.4	79	American
504	peugeot	8.65	4	2310.6	71	1447	24.8	79	European
cutlass salon brougham	oldsmobile	9.84	8	4260.6	90	1551.3	22.2	79	American
horizon	plymouth	6.88	4	1720.6	70	997.9	13.2	79	American
horizon tc3	plymouth	6.82	4	1720.6	70	975.2	14.9	79	American
210	datsun	7.4	4	1392.9	65	916.3	19.2	79	Japanese
strada custom	fiat	6.31	4	1491.2	69	966.2	14.7	79	European
skylark limited	buick	8.28	4	2474.4	90	1211.1	16	79	American
citation	chevrolet	8.17	6	2835	115	1177.1	11.3	79	American
omega brougham	oldsmobile	8.78	6	2835	115	1224.7	12.9	79	American
phoenix	pontiac	7.02	4	2474.4	90	1159.4	13.2	79	American
rabbit	vw	5.67	4	1605.9	76	972.5	14.7	80	European
corolla tercel	toyota	6.17	4	1458.4	60	892.7	18.8	80	Japanese
chevette	chevrolet	7.33	4	1605.9	70	961.6	15.5	80	American
310	datsun	6.32	4	1409.3	65	915.8	16.4	80	Japanese
citation	chevrolet	8.4	4	2474.4	90	1214.7	16.5	80	American
fairmont	ford	8.91	4	2294.2	88	1301.8	18.1	80	American
concord	amc	9.68	4	2474.4	90	1362.2	20.1	80	American
aspen	dodge	12.32	6	3687.1	90	1533.6	18.7	80	American
4000	audi	6.86	4	1589.5	78	992.5	15.8	80	European
corona liftback	toyota	7.89	4	2195.9	90	1229.7	15.5	80	Japanese
626	mazda	7.52	4	1966.4	75	1153.1	17.5	80	Japanese
510 hatchback	datsun	6.36	4	1950.1	92	1104.1	15	80	Japanese
corolla	toyota	7.31	4	1769.8	75	1027.4	15.2	80	Japanese
glc	mazda	5.05	4	1409.3	65	957.1	17.9	80	Japanese
colt	dodge	8.43	4	2556.4	105	1270.1	14.4	80	American
210	datsun	5.77	4	1392.9	65	957.1	19.2	80	Japanese
rabbit c (diesel)	vw	5.31	4	1474.8	48	945.8	21.7	80	European
dasher (diesel)	vw	5.42	4	1474.8	48	1059.2	23.7	80	European
5000s (diesel)	audi	6.46	5	1982.8	67	1338.1	19.9	80	European
240d	mercedes	7.84	4	2392.5	67	1474.2	21.8	80	European
civic 1500 gl	honda	5.27	4	1491.2	67	839.2	13.8	80	Japanese
lecar deluxe	renault	5.75	4	1392.9	NA	832.4	17.3	80	European
dl	subaru	6.96	4	1589.5	67	973	18	80	Japanese
rabbit	vw	7.89	4	1458.4	62	836.9	15.3	80	European
280-zx	datsun	7.19	6	2753	132	1320	11.4	80	Japanese
rx-7 gs	mazda	9.93	3	1147.1	100	1097.7	12.5	80	Japanese
tr7 coupe	triumph	6.72	4	1999.2	88	1134	15.1	80	European
mustang cobra	ford	9.97	4	2294.2	NA	1317.7	14.3	80	American
accord	honda	7.26	4	1753.4	72	1038.7	17	80	Japanese
reliant	plymouth	8.65	4	2212.2	84	1129.5	15.7	81	American
skylark	buick	8.84	4	2474.4	84	1195.2	16.4	81	American
aries wagon (sw)	dodge	9.12	4	2556.4	92	1188.4	14.4	81	American
citation	chevrolet	10.01	6	2835	110	1236.1	12.6	81	American
reliant	plymouth	7.84	4	2212.2	84	1081.8	12.9	81	American
starlet	toyota	6.02	4	1294.6	58	796.1	16.9	81	Japanese
champ	plymouth	6.03	4	1409.3	64	850.5	16.4	81	American
civic 1300	honda	6.7	4	1327.3	60	798.3	16.1	81	Japanese
2	subaru	7.28	4	1589.5	67	936.7	17.8	81	Japanese
210 mpg	datsun	6.36	4	1392.9	65	895.9	19.4	81	Japanese
tercel	toyota	6.24	4	1458.4	62	929.9	17.3	81	Japanese
glc 4	mazda	6.9	4	1491.2	68	900.4	16	81	Japanese
horizon 4	plymouth	6.78	4	1720.6	63	1004.7	14.9	81	American
escort 4w	ford	6.84	4	1605.9	65	927.6	16.2	81	American
escort 2h	ford	7.87	4	1605.9	65	1079.6	20.7	81	American
jetta	vw	7.13	4	1720.6	74	993.4	14.2	81	European
18i	renault	6.82	4	1638.7	NA	1052.4	15.8	81	European
prelude	honda	6.98	4	1753.4	75	1002.5	14.4	81	Japanese
corolla	toyota	7.26	4	1769.8	75	1066	16.8	81	Japanese
200sx	datsun	7.15	4	1950.1	100	1186.2	14.8	81	Japanese
626	mazda	7.44	4	1966.4	74	1195.2	18.3	81	Japanese
505s turbo diesel	peugeot	8.37	4	2310.6	80	1465.1	20.4	81	European
900s	saab	NA	4	1982.8	110	1270.1	15.4	81	European
diesel	volvo	7.66	6	2376.1	76	1433.4	19.6	81	European
cressida	toyota	9.26	6	2753	116	1315.4	12.6	81	Japanese
810 maxima	datsun	9.72	6	2392.5	120	1329	13.8	81	Japanese
century	buick	10.5	6	3785.4	110	1549	15.8	81	American
cutlass ls	oldsmobile	8.84	8	5735.5	105	1689.7	19	81	American
granada gl	ford	11.65	6	3277.4	88	1388	17.1	81	American
lebaron salon	chrysler	13.37	6	3687.1	85	1571.7	16.6	81	American
cavalier	chevrolet	8.4	4	1835.3	88	1181.6	19.6	82	American
cavalier wagon	chevrolet	8.71	4	1835.3	88	1197.5	18.6	82	American
cavalier 2-door	chevrolet	6.92	4	1835.3	88	1086.4	18	82	American
j2000 se hatchback	pontiac	7.59	4	1835.3	85	1168	16.2	82	American
aries se	dodge	8.11	4	2212.2	84	1145.3	16	82	American
phoenix	pontiac	8.71	4	2474.4	90	1240.6	18	82	American
fairmont futura	ford	9.8	4	2294.2	92	1299.6	16.4	82	American
concord dl	amc	10.23	4	2474.4	NA	1376.7	20.5	82	American
rabbit l	vw	6.53	4	1720.6	74	898.1	15.3	82	European
glc custom l	mazda	6.36	4	1491.2	68	918.5	18.2	82	Japanese
glc custom	mazda	7.59	4	1491.2	68	893.6	17.6	82	Japanese
horizon miser	plymouth	6.19	4	1720.6	63	963.9	14.7	82	American
lynx l	mercury	6.53	4	1605.9	70	963.9	17.3	82	American
stanza xe	nissan	6.53	4	1966.4	88	979.8	14.5	82	Japanese
accord	honda	6.53	4	1753.4	75	1000.2	14.5	82	Japanese
corolla	toyota	6.92	4	1769.8	70	1018.3	16.9	82	Japanese
civic	honda	6.19	4	1491.2	67	891.3	15	82	Japanese
civic (auto)	honda	7.35	4	1491.2	67	891.3	15.7	82	Japanese
310 gx	datsun	6.19	4	1491.2	67	904.9	16.2	82	Japanese
century limited	buick	9.41	6	2966	110	1335.9	16.4	82	American
cutlass ciera (diesel)	oldsmobile	6.19	6	4293.4	85	1367.6	17	82	American
lebaron medallion	chrysler	9.05	4	2556.4	92	1172.6	14.5	82	American
granada l	ford	10.69	6	3801.8	112	1286	14.7	82	American
